sigungu_name,lat,lon
강남구,37.5172,127.0473
강동구,37.5301,127.1238
강북구,37.6396,127.0256
강서구,37.5509,126.8495
관악구,37.4784,126.9516
광진구,37.5385,127.0823
구로구,37.4954,126.8874
금천구,37.4568,126.8957
노원구,37.6542,127.0568
도봉구,37.6688,127.0471
동대문구,37.5744,127.0395
동작구,37.5124,126.9393
마포구,37.5663,126.9014
서대문구,37.5794,126.9368
서초구,37.4837,127.0324
성동구,37.5634,127.0369
성북구,37.5894,127.0167
송파구,37.5145,127.1059
양천구,37.5169,126.8664
영등포구,37.5264,126.8962
용산구,37.5324,126.9903
은평구,37.6176,126.9227
종로구,37.5735,126.9788
중구,37.5640,126.9970
중랑구,37.6066,127.0926
